Gene,Fusion
POR,12397
MFNG,3475
ELFN2,3475
GATA4,5194
ZNF593,14499
CNKSR1,14499
DNMT3A,9803
ADCY3,9803
ZFP90,5049
CDH3,5049
KIF3A,3555
SHROOM1,3555
RPL37A,9803
IGFBP2,9803
EPS8L2,9113
TALDO1,9113
UBXN8,5194
BMP1,5194
ARMC6,8481
SLC25A42,8481
CDK8,1058
FGF14,1058
RNF216P1,12397
RBAK,12397
TNFRSF21,3150
PTCHD4,3150
NPTXR,3475
DNAL4,3475
ZNF529-AS1,8481
ZNF382,8481
CPSF6,7911
TMEM184B,3475
CUL2,2967
MCM3AP-AS1,1907
YBEY,1907
ARHGEF7,1058
TEX29,1058
DRAXIN,14499
AGTRAP,14499
TMEM258,9113
POLD2,12397
POLM,12397
SCNN1D,14499
ZFAT,5194
ARMC9,9803
AC017104.6,9803
BZW2,12397
TSPAN13,12397
CHCHD2,12397
PHKG1,12397
ERICH5,5194
FZD6,5194
FUT10,5194
SFRP1,5194
HAS3,5049
CIRH1A,5049
HSD17B14,8481
BCAT2,8481
AC015977.6,9803
CIB4,9803
ATP1A3,8481
ATP6V1H,5194
OXR1,5194
BBOX1-AS1,9113
SLC5A12,9113
IRF2BP2,14499
KBTBD11,5194
TP53BP1,8400
FAM20B,14499
NARF,10750
FAM83F,3475
TNRC6B,3475
GOLGA2P8,8400
SEPT8,3555
SLC16A1-AS1,14499
MGRN1,5049
NUDT16L1,5049
MRPL21,9113
CPT1A,9113
MTURN,12397
ZNRF2,12397
NANP,2888
NINL,2888
PDP2,5049
RN7SL405P,10750
RNF187,14499
DNM2,8481
TMPO,7911
SLC25A3,7911
TXNL4A,1207
PQLC1,1207
ARID2,7911
MACC1,12397
TCF12,8400
ZNF826P,8481
SCYL1,9113
FRMD8,9113
PVRL4,14499
ARHGAP30,14499
USP7,5049
MBOAT1,3150
ACOXL,9803
ACVRL1,7911
SNX13,12397
SFN,14499
TRIM29,9113
SUFU,2967
RPARP-AS1,2967
ARSI,3555
CAMK2A,3555
PTPRF,14499
WDR72,8400
AC068580.6,9113
CELP,4233
CEL,4233
ANK1,5194
BCL9L,9113
ID3,14499
TRIOBP,3475
PVRL1,9113
SH3PXD2A,2967
BCL9,14499
SLC25A43,3226
SLC25A5,3226
TSPAN1,14499
LURAP1,14499
VKORC1,5049
PRSS53,5049
KMT2C,12397
TPTE,1907
RFTN1,3979
PVT1,5194
MED20,3150
C6ORF132,3150
DENND6B,3475
PLXNB2,3475
NPW,5049
SLC9A3R2,5049
ASL,12397
CRCP,12397
WDR81,10750
SERPINF2,10750
RP11-381K20.2,3555
KLHL3,3555
BAIAP2,10750
KCNN3,14499
AR,3226
NCOA6,2888
TXLNA,14499
CCDC28B,14499
ALOX5AP,1058
LINC00398,1058
MCL1,14499
RPS19,8481
NOC4L,7911
GRAMD1A,8481
SCN1B,8481
OXNAD1,3979
APEH,3979
RNF123,3979
CLEC16A,5049
CIITA,5049
CRY2,9113
MAPK8IP1,9113
ERP29,7911
NCKAP1L,7911
GPKOW,3226
WDR45,3226
INPP5D,9803
POU2AF1,9113
ITM2C,9803
IVD,8400
BAHD1,8400
MBD6,7911
MFSD10,2237
MMP17,7911
ZFP36L1,6514
SLC1A1,4233
IL33,4233
CD22,8481
ZSWIM1,2888
CTSA,2888
COL16A1,14499
MMP2,5049
LPCAT2,5049
ELOVL1,14499
ITGA11,8400
COL15A1,4233
CTGF,3150
IGFBP7,2237
CCND1,9113
DVL1,14499
ADAMTS12,3555
BGN,3226
GABARAP,10750
GPNMB,12397
NOL6,4233
RAB11FIP5,9803
FAM234A,5049
MFGE8,8400
TIMP3,3475
OLFML2B,14499
PALM2-AKAP2,4233
SMPD1,9113
UACA,8400
AKAP2,4233
COL13A1,2967
BACE2,1907
MAU2,8481
NDRG1,5194
PCDHGA11,3555
PCDHGB5,3555
RHOT2,5049
SH3KBP1,3226
TMEM119,7911
TPST2,3475
UNC5B,2967
WNK1,7911
BASP1,3555
SLC14A1,1207
IMP3,8400
SNUPN,8400
ITGBL1,1058
LMO7-AS1,1058
COMMD6,1058
MAP4K4,9803
MPC2,14499
ADCY10,14499
NEO1,8400
SEMA5A,3555
SLC12A4,5049
HTRA1,2967
STX7,3150
RPS6KB1,10750
TFDP2,3979
APOL4,3475
ERV3-1,12397
PDE1A,9803
ZNF117,12397
DNASE1L1,3226
KIF1C,10750
SLTM,8400
KCNJ14,8481
CABP5,8481
EMP2,5049
TMEM38B,4233
CHIA,14499
PIFO,14499
EPB41L4A,3555
FBXL17,3555
SETD5,3979
ATP2B2,3979
ZC3H15,9803
ITGAV,9803
MANBAL,2888
SRC,2888
WDR43,9803
DGKZ,9113
HIPK3,9113
FUT1,8481
IZUMO1,8481
GIPC1,8481
PTGER1,8481
TDRP,5194
FBXO25,5194
CAPN1,9113
CLU,5194
ASH1L-AS1,14499
DAP3P1,14499
MYH14,8481
MYBL2,2888
HMGN2,14499
GSTP1,9113
KANSL3,9803
MORF4L2-AS1,3226
TMEM31,3226
RGS9BP,8481
NUDT19,8481
WDR5,4233
DHX38,5049
AMPD1,14499
GFAP,10750
CENPU,2237
ENPP6,2237
RBPMS,5194
TBCEL,9113
TECTA,9113
WARS2,14499
TBX15,14499
LRPAP1,2237
HDLBP,9803
MICALL2,12397
PEAK1,8400
TSPAN3,8400
TMSB4X,3226
LENG8,8481
COL6A1,1907
CTNND2,3555
DCAF7,10750
TACO1,10750
GPI,8481
ANXA2,8400
ITGB3,10750
EFCAB13,10750
CNR1,3150
NONO,3226
VPS41,12397
SLC9A7,3226
RAB11FIP4,10750
TSPAN5,2237
ADH4,2237
KIF5C,9803
GALNT13,9803
UBXN2A,9803
MFSD2B,9803
FAM104A,10750
CEP44,2237
ADD3,2967
CHAMP1,1058
RPL23AP97,1058
FUBP1,14499
CSNK1D,10750
GGCT,12397
NOD1,12397
LRRC8D,14499
ZNF326,14499
RAB40B,10750
WDR45B,10750
KIF1A,9803
KCTD2,10750
LIMK1,12397
MCM8,2888
PER1,10750
SRCIN1,10750
TCF3,8481
PBX1,14499
AC019118.3,9803
LINC01250,9803
DLEU7-AS1,1058
RNASEH2B,1058
MZB1,3555
SLC23A1,3555
LINC00426,1058
ZC3H12D,3150
PAXIP1,12397
DPP6,12397
UBQLN1,4233
SHC3,4233
RBM17,2967
PFKFB3,2967
SNX8,12397
CAND1,7911
C12ORF56,7911
AP3D1,8481
R3HCC1L,2967
UBXN1,9113
PCMTD1,5194
GSTA9P,3150
TSPAN31,7911
RPS11P6,7911
LINC00265,12397
HDAC9,12397
LRRC1,3150
CA10,10750
AC005355.2,3555
JADE2,3555
KIRREL,14499
MPTX1,14499
MACROD1,9113
ROM1,9113
SLC35B1,10750
CLIC5,3150
PXDNL,5194
MPP6,12397
PHF14,12397
PLEKHJ1,8481
TGIF1,1207
TLE1,4233
LYRM5,7911
ZBTB1,6514
PPP1R36,6514
PTK2,5194
TRAPPC9,5194
C15ORF39,8400
ADPGK,8400
CHCHD6,3979
ALDH1L1-AS2,3979
SVIP,9113
CCDC179,9113
KRT80,7911
ARHGAP23,10750
MRPL45,10750
KRT81,7911
PPHLN1,7911
ATXN1,3150
CCNYL1,9803
NRP2,9803
KRT17,10750
PLCG1,2888
PHACTR3,2888
COX4I1,5049
GSS,2888
PLK2,3555
PLXNA1,3979
SLC27A5,8481
MAST2,14499
NLN,3555
ADAMTSL4,14499
FOXJ3,14499
MSMO1,2237
RBM12,2888
KRT8P11,4233
TUBB,3150
MAVS,2888
MUC4,3979
NCKAP1,9803
UTS2B,3979
OSTN-AS1,3979
CAMSAP2,14499
ADPRH,3979
PLA1A,3979
CCL22,5049
CX3CL1,5049
SLC43A3,9113
PRG2,9113
MIR3945HG,2237
ACSL1,2237
RAB29,14499
CCND2,7911
TIGAR,7911
MIR155HG,1907
JAM2,1907
CNOT10,3979
ANAPC16,2967
GRN,10750
NUBPL,6514
SPN,5049
SPON2,2237
DGCR8,3475
TRAF1,4233
PHF19,4233
WDR91,12397
C7ORF49,12397
UGP2,9803
IGK@,9803
CCDC93,9803
SUSD6,6514
RAD51B,6514
IL23A,7911
CD44,9113
PDHX,9113
VEGFC,2237
GALNTL6,2237
MTAP,4233
CDKN2A,4233
PLAA,4233
NBEA,1058
FOCAD,4233
LINC01239,4233
MIR31HG,4233
ELAVL2,4233
EBPL,1058
HIPK2,12397
PLCB1,2888
CHRDL1,3226
CALM3,8481
ASCC2,3475
COL7A1,3979
FGFRL1,2237
ITM2B,1058
PTPN14,14499
BCL2L14,7911
BORCS5,7911
LRP6,7911
ETV6,7911
CREBL2,7911
TOP3B,3475
CYYR1,1907
MAP2K3,10750
PLBD1,7911
PLEK2,6514
ATP6V1D,6514
CIRBP,8481
MYC,5194
JUP,10750
MUC5AC,9113
MANSC1,7911
NDUFA4,12397
SLCO1B1,7911
GOLT1B,7911
ERLIN2,5194
TMEM68,5194
PRCP,9113
RPS6KB2,9113
KDM2A,9113
CLNS1A,9113
TENM4,9113
SIRPD,2888
RSF1,9113
ZNF160,8481
ZNF468,8481
GPR107,4233
LAMA2,3150
NARS2,9113
SCAND2P,8400
KIF7,8400
CCSER2,2967
LINC00858,2967
ADAP1,12397
SUN1,12397
CARNMT1,4233
C9ORF40,4233
AC027612.6,9803
SERINC2,14499
NDUFC2-KCTD14,9113
ACADVL,10750
SLC2A8,4233
TIMP1,3226
NTN4,7911
IRGQ,8481
SCUBE3,3150
QSOX1,14499
CDK16,3226
RPS11,8481
JMJD6,10750
MXRA7,10750
NOTCH2NL,14499
TPM4,8481
DCAKD,10750
CDC16,1058
LINC01024,3555
NF2,3475
CLK1,9803
TRAK2,9803
TMEM87A,8400
NR6A1,4233
GOLGA1,4233
P4HA1,2967
SACM1L,3979
JAK2,4233
PTPRD,4233
RAB31,1207
MYOM1,1207
LINC00973,3979
COPB2,3979
NAA25,7911
HECTD4,7911
FAM234B,7911
PRKRIP1,12397
CUX1,12397
TRIO,3555
DSCR4,1907
KCNJ6,1907
RSPRY1,5049
NLRC5,5049
AK3,4233
CDC37L1-AS1,4233
GPR1-AS,9803
ZDBF2,9803
IAH1,9803
MACF1,14499
OSBPL2,2888
CDH4,2888
CYTH1,10750
EIF3H,5194
CCDC85C,6514
SETD3,6514
TATDN1,5194
PCDH1,3555
SUMF1,3979
LRRFIP2,3979
SAMD12,5194
MRPL13,5194
KLHDC2,6514
SNTB1,5194
NCOA2,5194
LINC00536,5194
CPNE1,2888
PREX1,2888
FOXK2,10750
MTMR3,3475
UQCR10,3475
TBC1D31,5194
ZNF704,5194
COLEC10,5194
VSTM2L,2888
CTNNBL1,2888
DHX35,2888
ITCH,2888
PKIA,5194
HSPB1,12397
SLC30A6,9803
SPAST,9803
AC098828.2,9803
LAPTM4A,9803
FBXL7,3555
SUSD2,3475
ATP5B,7911
ADGRG1,5049
ATP2A3,10750
PCBP1,9803
MCFD2,9803
AC016722.3,9803
MSL1,10750
WDR82,3979
PLCD4,9803
CXCR2,9803
RAB5C,10750
SLC45A3,14499
ELK4,14499
AC010969.1,9803
DHRS2,6514
CSE1L,2888
CTTN,9113
CYP4F12,8481
CYP4F23P,8481
CHD4,7911
FKBP14,12397
RAD18,3979
OXTR,3979
SOX13,14499
SCD,2967
ATAD5,10750
TLK2,10750
MAPRE1,2888
BPI,2888
FOXP1,3979
FAM188A,2967
LINC01385,3555
BTF3,3555
MTERF4,9803
CPS1,9803
ARHGAP10,2237
EDNRA,2237
PRPF3,14499
RPRD2,14499
EMC3-AS1,3979
PGM2L1,9113
FCHSD2,9113
ZMYND19,4233
DPH7,4233
HDAC11,3979
FBLN2,3979
USP4,3979
TCAIM,3979
CCDC64,7911
CABP1,7911
ZNF586,8481
ZNF814,8481
BRI3BP,7911
POLRMT,8481
TPGS1,8481
PLEKHA1,2967
TACC2,2967
CMTM8,3979
CMTM7,3979
SLC35E4,3475
OSBP2,3475
TLCD1,10750
NEK8,10750
GSR,5194
SCARA3,5194
EIF2S3,3226
OSBPL10,3979
RHOA,3979
SIAE,9113
FCGBP,8481
FOS,6514
PDLIM5,2237
CEP170B,6514
ABHD2,8400
ACP1,9803
AC079779.4,9803
BMP4,6514
TMEM120B,7911
CLUH,10750
DENR,7911
RHOF,7911
ENTPD5,6514
FAM161B,6514
FBXW8,7911
KSR2,7911
GPA33,14499
LRP5,9113
CEMIP,8400
SAE1,8481
ERBB3,7911
RBM3,3226
TBC1D25,3226
SETD1B,7911
CLIP1,7911
TRIM3,9113
HPX,9113
VPS28,5194
YLPM1,6514
AFF1,2237
C20ORF197,2888
TIFAB,3555
H2AFY,3555
DPP9,8481
MYDGF,8481
KIAA0930,3475
CLPP,8481
ALKBH7,8481
NUP88,10750
NKAPP1,3226
LINC01402,3226
ZNF546,8481
ZNF780B,8481
CDCA8,14499
GRIK3,14499
MTF1,14499
FAM179B,6514
PRPF39,6514
SPP1,2237
MAP3K14,10750
SPATA32,10750
MANEAL,14499
C1ORF122,14499
AKR1B10,12397
CCDC124,8481
E2F4,5049
S100P,2237
WI2-89031B12.1,3226
CPLX2,3555
PTCD3,9803
RNF2,14499
LINC00970,14499
SMIM12,14499
DLGAP3,14499
TRMT10C,3979
SMC6,9803
TUFT1,14499
PBXIP1,14499
SLC11A2,7911
LARGE,3475
MOB1B,2237
ATXN7,3979
NLRP3P,3226
VSIG1,3226
KRT5,7911
HNRNPA2B1,12397
LINC01399,3475
CAV1,12397
ALOX15,10750
ATP6V0D1,5049
NUP43,3150
CPA4,12397
CRHR1-IT1,10750
TMEM94,10750
RSPH3,3150
CCDC6,2967
ANK3,2967
CDK12,10750
ZFAND2A,12397
C7ORF50,12397
DOCK5,5194
CDCA2,5194
SIAH1,5049
ABCC11,5049
IKZF3,10750
GSK3B,3979
GPR156,3979
ARMC1,5194
CCSER1,2237
HERC6,2237
EIF2AK3,9803
PRKD3,9803
PSMD12,10750
ZNF710,8400
WDR93,8400
ITGB6,9803
RBMS1,9803
UBE2K,2237
UGDH-AS1,2237
PLA2G6,3475
EIF4ENIF1,3475
DHX30,3979
SMARCC1,3979
LLGL2,10750
FEM1B,8400
KCNG3,9803
LONP2,5049
RECQL5,10750
SEC63,3150
REV3L,3150
TSEN54,10750
NPEPL1,2888
ADRM1,2888
CCBE1,1207
D2HGDH,9803
GAL3ST2,9803
AAMP,9803
AIM1,3150
BAMBI,2967
CCNB1IP1,6514
CHKB,3475
CTNNA1,3555
EPB41L3,1207
FAM65A,5049
HNRNPF,2967
LSR,8481
GDF15,8481
HUWE1,3226
XAGE1B,3226
SLC52A2,5194
SREBF2,3475
TSR2,3226
MRPS26,2888
ADGRG7,3979
CCR3,3979
C1QTNF1-AS1,10750
CANT1,10750
GPR137,9113
TEX40,9113
ITPR3,3150
FAM102B,14499
GLMN,14499
SOD2,3150
SPIB,8481
KIAA0125,6514
RBL1,2888
PPP4R1L,2888
RNF213,10750
ENDOV,10750
KISS1R,8481
ARID3A,8481
PAX5,4233
PRDM1,3150
HBS1L,3150
MPEG1,9113
FAM129C,8481
PTCD2,3555
SNU13,3475
LLPH,7911
GAR1,2237
RRH,2237
MRPS31P4,1058
HNRNPA1L2,1058
SWAP70,9113
NPHP3,3979
UCP2,9113
AC003006.7,8481
ZNF654,3979
C3ORF38,3979
CBL,9113
BCL11A,9803
ERI2,5049
AC004381.7,5049
NCSTN,14499
NHLH1,14499
DRAIC,8400
ARHGAP25,9803
AC097495.2,9803
ATF5,8481
UBALD2,10750
BAZ2A,7911
CLECL1,7911
DHFRL1,3979
STX19,3979
HNRNPUL1,8481
LINC00511,10750
SLC39A11,10750
MYOCD,10750
ARHGAP44,10750
PPP6R1,8481
PIM1,3150
TAGLN2,14499
TNFAIP8,3555
HSD17B4,3555
TP53I11,9113
ZNF852,3979
ZNF445,3979
MCCC1,3979
DCUN1D1,3979
PPIP5K1,8400
CATSPER2,8400
WHSC1,2237
SCO2,3475
CHKB-CPT1B,3475
UAP1,14499
DDR2,14499
KIAA0125P1,8400
TNFRSF17,5049
SNX29,5049
PI3,2888
XPO1,9803
CCT4,9803
C1GALT1C1,3226
DNAH11,12397
ZNF740,7911
TAF1D,9113
SCAMP5,8400
PPCDC,8400
CXXC1,1207
MYO5B,1207
JCHAIN,2237
ADAMTS4,14499
B4GALT3,14499
BLOC1S5-TXNDC5,3150
NES,14499
ZBTB38,3979
MFI2,3979
RPSAP69,3979
TXNDC5,3150
IGKC,9803
IGLC1,3475
IGLL5,3475
AL109761.5,1907
CHODL,1907
AQP3,4233
ITGAL,5049
SLC2A5,14499
ITGB7,7911
MKI67,2967
OOEP-AS1,3150
DDX43,3150
SLC35F2,9113
SLN,9113
XBP1,3475
CDC37,8481
PDE4C,8481
TPST1,12397
SIRT6,8481
TARM1,8481
AC068533.7,12397
ACVR1,9803
CYTIP,9803
AKAP8,8481
BRD4,8481
ZNF699,8481
OCA2,8400
HERC2,8400
KDM4B,8481
PLEKHF1,8481
ASB4,12397
GS1-306C12.1,12397
DDB1,9113
VWCE,9113
RAB11A,8400
FAM3B,1907
CIT,7911
SHB,4233
IGSF3,14499
CD58,14499
SEMA4C,9803
ANKRD39,9803
CTNNB1,3979
CAPG,9803
HMG20B,8481
NUPL2,12397
ZNHIT1,12397
YWHAZ,5194
GLOD4,10750
GEMIN4,10750
C10ORF90,2967
LINC00601,2967
NFE2L1,10750
BSG,8481
TGFBI,3555
TMEM132A,9113
SUPT5H,8481
RYR1,8481
QKI,3150
PACRG,3150
CTCF,5049
SLC9A5,5049
EDF1,4233
NDRG3,2888
PIGG,2237
ZNF595,2237
ATP2C1,3979
ALG1L2,3979
LHX3,4233
PLEKHG4,5049
TGM4,3979
RARRES2P6,5049
FRG2JP,5049
TMSB4Y,70
ANOS2P,70
FRAS1,2237
NRP1,2967
RAPGEFL1,10750
NCOA7,3150
TPD52L1,3150
RRM2B,5194
UBR5,5194
PHRF1,9113
RASSF7,9113
RBMY2EP,70
PRORY,70
LRRC39,14499
DUSP16,7911
LINC00310,1907
NOB1,5049
RAB30-AS1,9113
PICALM,9113
SLC10A4,2237
ZAR1,2237
BTN2A3P,3150
BTN3A3,3150
TMEM158,3979
KIFC3,5049
SIVA1,6514
POU6F2,12397
LRP1B,9803
AP5Z1,12397
PUM3,4233
CDC37L1,4233
ANKRD28,3979
HACL1,3979
ZNF823,8481
AC005624.2,8481
APH1A,14499
EFHD2,14499
TAF15,10750
CRLF2,3226
DPEP1,5049
SPATA33,5049
AC018634.9,12397
NME8,12397
SPTLC1,4233
NOL8,4233
CDKN2B-AS1,4233
CSF2RA,3226
VGLL3,3979
RASAL3,8481
WIZ,8481
CD81,9113
TSSC4,9113
MAML2,9113
TMEM236,2967
MRC1,2967
CIZ1,4233
POLR3K,5049
IL9RP3,5049
RAB9A,3226
OFD1,3226
TRABD,3475
CD74,3555
RIMS2,5194
ODF1,5194
LATS2,1058
GLRA2,3226
PHTF2,12397
STAG3L5P,12397
PILRA,12397
ULK2,10750
SLC47A2,10750
AKAP8L,8481
FAM217B,2888
MKRN2,3979
TSEN2,3979
RPS6KA2,3150
MPC1,3150
ADGRL3,2237
C5ORF24,3555
SNX25,2237
PNO1,9803
ZFPM2-AS1,5194
SDAD1,2237
METTL7A,7911
MGEA5,2967
TTC12,9113
ANKK1,9113
DHPS,8481
WDR83OS,8481
FOSB,8481
SLC25A40,12397
AC004862.6,12397
ZFHX3,5049
LINC01572,5049
CFH,14499
CFHR3,14499
GAS2L3,7911
FGFR1,5194
HOMER3,8481
COPE,8481
LA16C-380H5.5,5049
CLDN9,5049
DCAF11,6514
SSH3,9113
WNT6,9803
WNT10A,9803
SSX1,3226
SSX8,3226
MAP7D3,3226
CRTC2,14499
CORO1A,5049
NUTM2A-AS1,2967
MINPP1,2967
SSX3,3226
AC069363.1,10750
PIM2,3226
PRRC2C,14499
MLLT1,8481
NFIX,8481
NACC1,8481
PDSS2,3150
ACSS1,2888
APMAP,2888
ARMC5,5049
TGFB1I1,5049
EAF2,3979
SLC15A2,3979
LCP1,1058
USF2,8481
PPP2R1A,8481
PEX26,3475
TUBA1B,7911
MCM3,3150
PGLS,8481
FAM102A,4233
GNPTAB,7911
NUP37,7911
PPP1R10,3150
MDC1,3150
ZCCHC14,5049
DOCK3,3979
AC068831.10,8400
ZNF569,8481
RALGPS2,14499
RASAL2,14499
ZNRF3,3475
KREMEN1,3475
TRERF1,3150
IGSF9,14499
PPA1,2967
NPFFR1,2967
BIN3,5194
EGR3,5194
SV2B,8400
NKD1,5049
ADCY7,5049
PSKH1,5049
PDGFA,12397
AC147651.1,12397
EMID1,3475
SHC2,8481
TNIP1,3555
SLC36A2,3555
RNF220,14499
ATP11A,1058
PTK7,3150
CALCOCO1,7911
IARS,4233
STC2,3555
CLSTN1,14499
NUMA1,9113
B4GALT5,2888
CCNK,6514
FGF19,9113
HSF1,5194
HYOU1,9113
KMT2D,7911
LA16C-360H6.3,5049
TIGD7,5049
MYO10,3555
RBM38,2888
DEFA5,5194
RNF141,9113
ROBO1,3979
TNRC18,12397
SLC7A8,6514
TPR,14499
SMARCB1,3475
MARK3,6514
APOPT1,6514
CSAD,7911
HOXC6,7911
IGHV3-21,6514
DBP,8481
AKT2,8481
PLIN5,8481
HOXC4,7911
CRABP2,14499
IGFBP5,9803
SFXN5,9803
FAM49A,9803
NBAS,9803
AC008271.1,9803
MAPT-AS1,10750
ACOT11,14499
HRK,7911
SPSB4,3979
TTC31,9803
LBX2-AS1,9803
VPS33B,8400
PRC1,8400
GEMIN7,8481
RELB,8481
CYB5A,1207
ABHD17B,4233
TMEM2,4233
COL4A1,1058
CRIM1,9803
FEZ2,9803
ACAP2,3979
XXYLT1,3979
TNC,4233
RABGEF1,12397
TMEM248,12397
LIF,3475
COL6A2,1907
CXCL1,2237
DCBLD2,3979
KCTD7,12397
MYOF,2967
COL27A1,4233
SMAD3,8400
CXCL8,2237
METTL9,5049
EXTL3,5194
TMX2-CTNND1,9113
FAM149B1,2967
AHDC1,14499
FNDC3A,1058
DCTD,2237
FYTTD1,3979
GCN1,7911
INPP5A,2967
RRAS,8481
LRRK1,8400
ALDH1A3,8400
MDH2,12397
USP5,7911
MTF2,14499
SRSF9,7911
NUP98,9113
PMEPA1,2888
QARS,3979
TTL,9803
RNPEP,14499
BYSL,3150
ZNF839,6514
PTPN21,6514
CEP128,6514
GOPC,3150
ROS1,3150
ALDH6A1,6514
ARFGEF1,5194
PHYHIP,5194
ADK,2967
GDF6,5194
RAP2C,3226
R3HCC1,5194
NDUFA3,8481
RNH1,9113
VEGFA,3150
CAPNS1,8481
PXDN,9803
TECPR2,6514
AKAP12,3150
ATN1,7911
BLOC1S6,8400
SQRDL,8400
PRKACA,8481
CCDC88A,9803
MTIF2,9803
CD151,9113
CRTAP,3979
CLMP,9113
CTSL,4233
SRSF7,9803
DST,3150
MAP1B,3555
ENTPD4,5194
EPS8,7911
CDK6,12397
PDCD6IP,3979
FST,3555
PCDHGA1,3555
PCDHGA10,3555
PCDHGA12,3555
PCDHGA2,3555
PCDHGA3,3555
PCDHGA4,3555
PCDHGA5,3555
PCDHGA6,3555
PCDHGA7,3555
PCDHGA8,3555
PCDHGA9,3555
PCDHGB1,3555
PCDHGB2,3555
PCDHGB3,3555
PCDHGB4,3555
PCDHGB6,3555
PCDHGB7,3555
PCDHGC3,3555
PCDHGC4,3555
PCDHGC5,3555
KIF18B,10750
KPNA4,3979
SWI5,4233
NDUFV3,1907
PKNOX1,1907
PABPC1L,2888
ZNFX1,2888
TRAM2,3150
PIGCP1,9113
CKAP2,1058
OSMR,3555
PROSC,5194
CHMP1A,5049
PSMC5,10750
ZNF384,7911
KDM5A,7911
RERG,7911
SERPINE2,9803
XRCC5,9803
NCAM2,1907
TUBD1,10750
HTR2B,9803
AGAP1,9803
GNAZ,3475
GS1-124K5.12,12397
UTP18,10750
SEPT2,9803
RUNX1,1907
AF127577.8,1907
USP39,9803
MAT2A,9803
KPNA2,10750
CDCP1,3979
DSCAM,1907
RRP1B,1907
KPNB1,10750
NPEPPS,10750
NUDT21,5049
AMFR,5049
USP22,10750
TRDMT1,2967
ANKS3,5049
UBALD1,5049
UBR1,8400
TGM5,8400
TBC1D8,9803
CREG2,9803
MAP3K1,3555
AC016644.1,3555
MPRIP,10750
DRG2,10750
CYFIP1,8400
CHP1,8400
FRMD5,8400
COG3,1058
TDRD3,1058
MIR205HG,14499
MARCH6,3555
MLLT6,10750
STXBP2,8481
WNT9A,14499
PRSS23,9113
LRRC37B,10750
ADIRF-AS1,2967
SLC6A20,3979
CD38,2237
ATP6V1C2,9803
ATXN2L,5049
B3GAT3,9113
PDK3,3226
BRD3,4233
ESYT1,7911
CCT3,14499
CD99,3226
HINT1,3555
MMAB,7911
HNRNPD,2237
SON,1907
KCTD5,5049
REPIN1,12397
PRKCH,6514
SEC14L1,10750
RECQL4,5194
POLG,8400
SLC9A8,2888
CAP1,14499
INO80B-WBP1,9803
WBP1,9803
UBASH3B,9113
ATXN7L3B,7911
WAC,2967
MSI2,10750
AL122127.25,6514
MPV17,9803
UCN,9803
GP1BA,10750
HERC3,2237
FAM13A-AS1,2237
LINC01237,9803
AC093642.5,9803
MGAT4B,3555
AADAT,2237
PCGF3,2237
MAP7D1,14499
SLC24A2,4233
ADAM12,2967
ALG8,9113
NDUFC2,9113
SLC9B2,2237
SEC24D,2237
ASB6,4233
WARS,6514
PRRC2A,3150
PHLDB1,9113
PLOD1,14499
MICAL2,9113
BRD8,3555
EPHA2,14499
LPP,3979
MARCH4,9803
PPFIA4,14499
SPECC1,10750
STEAP3,9803
SLC4A2,12397
FKBP10,10750
ATP2B4,14499
ABCC1,5049
GCLM,14499
IQGAP3,14499
GALNT2,14499
SERINC5,3555
CCDC80,3979
COL8A2,14499
CLDN11,3979
CTSZ,2888
SULF1,5194
CNN2,8481
FLOT2,10750
SLC12A9,12397
MRC2,10750
ITGB1,2967
MYLK,3979
BAX,8481
DIP2C,2967
EIF4A2,3979
ELOVL5,3150
HNRNPM,8481
KDM5C,3226
KIF26B,14499
MRPS27,3555
PITRM1,2967
RASA3,1058
SDC1,9803
SSR4,3226
TOLLIP,9113
XYLT1,5049
EPAS1,9803
FBN1,8400
PAPSS2,2967
FNDC1,3150
SPTBN1,9803
TNS1,9803
LTBP2,6514
NPR2,4233
PCBP2,7911
SNRPN,8400
SUN2,3475
SYNPO2,2237
TANC1,9803
THBS3,14499
TSIX,3226
SLC46A1,10750
N4BP2L2,1058
PEX14,14499
NRDE2,6514
CALM1,6514
HSF2BP,1907
AP001610.5,1907
R3HDM2,7911
ARHGAP9,7911
C1ORF52,14499
DDAH1,14499
MSI1,7911
TMEM184C,2237
ZNF217,2888
BCAS1,2888
COL11A1,14499
IVNS1ABP,14499
ALDH1A1,4233
COL5A2,9803
GRIA2,2237
WWC2,2237
TENM3,2237
SLC48A1,7911
FAT1,2237
IGFN1,14499
QPRT,5049
SPNS2,10750
KIRREL3,9113
NIN,6514
SAV1,6514
BRDT,14499
EPHX4,14499
C14ORF159,6514
ABR,10750
NXN,10750
KPNA7,12397
DHX9,14499
EP300,3475
GOLIM4,3979
NAALADL2,3979
MCM4,5194
PRKDC,5194
NEK11,3979
PIBF1,1058
KLF5,1058
UBAC1,4233
CAMSAP1,4233
BLOC1S2,2967
CWF19L1,2967
STK24,1058
FARP1-AS1,1058
C19ORF47,8481
RECK,4233
TCTN1,7911
FBXO27,8481
FBL,8481
PSMC4,8481
GAREM,1207
NOL4,1207
DMRTA1,4233
ANPEP,8400
ZFP36,8481
MAEA,2237
ACRC,3226
PAF1,8481
P3H2,3979
ATG5,3150
USP28,9113
CWF19L2,9113
DNAJC3,1058
HS6ST3,1058
PRTFDC1,2967
IQCA1,9803
KYNU,9803
SETD2,3979
SCAP,3979
