ID	CELL_LINE	DISEASE	DISEASE_NAME
CCLE_413 	DMS114	LUSC	Lung squamous cell carcinoma
CCLE_414 	JHUEM1	UCEC	Uterine Corpus Endometrioid Carcinoma
CCLE_415 	23132/87	STAD	Stomach adenocarcinoma
CCLE_416 	ChaGoK1	LUSC	Lung squamous cell carcinoma
CCLE_417 	T173	SARC	Sarcoma
CCLE_418 	SUPB15	LCLL	Chronic Lymphocytic Leukemia
CCLE_419 	YH13	LGG	Brain Lower Grade Glioma
CCLE_420 	SNUC4	COAD	Colon adenocarcinoma
CCLE_421 	LoVo	COAD	Colon adenocarcinoma
CCLE_422 	SNU398	LIHC	Liver hepatocellular carcinoma
CCLE_423 	NCIH358	LUSC	Lung squamous cell carcinoma
CCLE_424 	HCC1937	BRCA	Breast invasive carcinoma
CCLE_425 	PK59	PAAD	Pancreatic adenocarcinoma
CCLE_426 	HH	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_427 	KNS62	LUSC	Lung squamous cell carcinoma
CCLE_428 	ONS76	LGG	Brain Lower Grade Glioma
CCLE_429 	TE4	ESCA	Esophageal carcinoma
CCLE_430 	LU99	LUSC	Lung squamous cell carcinoma
CCLE_431 	MUTZ5	LCLL	Chronic Lymphocytic Leukemia
CCLE_432 	KMH2	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_433 	NCIH1734	LUSC	Lung squamous cell carcinoma
CCLE_434 	SNU216	STAD	Stomach adenocarcinoma
CCLE_435 	HCC78	LUSC	Lung squamous cell carcinoma
CCLE_436 	HEC251	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_437 	A253	HNSC	Head and Neck squamous cell carcinoma
CCLE_438 	CORL88	LUSC	Lung squamous cell carcinoma
CCLE_439 	SCaBER	BLCA	Bladder Urothelial Carcinoma
CCLE_440 	NCIH2405	LUSC	Lung squamous cell carcinoma
CCLE_441 	NCIH1876	LUSC	Lung squamous cell carcinoma
CCLE_442 	TT2609C02	THCA	Thyroid carcinoma
CCLE_443 	RMGI	OV	Ovarian serous cystadenocarcinoma
CCLE_444 	Hs840T	HNSC	Head and Neck squamous cell carcinoma
CCLE_445 	769P	KIRC	Kidney renal clear cell carcinoma
CCLE_446 	SNU503	COAD	Colon adenocarcinoma
CCLE_447 	NALM1	LCLL	Chronic Lymphocytic Leukemia
CCLE_448 	L428	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_449 	NUGC3	STAD	Stomach adenocarcinoma
CCLE_450 	NCIH1048	LUSC	Lung squamous cell carcinoma
CCLE_451 	BT20	BRCA	Breast invasive carcinoma
CCLE_452 	TT	THCA	Thyroid carcinoma
CCLE_453 	HEL	LCLL	Chronic Lymphocytic Leukemia
CCLE_454 	KP4	PAAD	Pancreatic adenocarcinoma
CCLE_455 	A101D	SKCM	Skin Cutaneous Melanoma
CCLE_456 	NCIH2023	LUSC	Lung squamous cell carcinoma
CCLE_457 	OVK18	OV	Ovarian serous cystadenocarcinoma
CCLE_458 	59M	OV	Ovarian serous cystadenocarcinoma
CCLE_459 	NCIH1930	LUSC	Lung squamous cell carcinoma
CCLE_460 	UMUC1	BLCA	Bladder Urothelial Carcinoma
CCLE_461 	SW480	COAD	Colon adenocarcinoma
CCLE_462 	Calu3	LUSC	Lung squamous cell carcinoma
CCLE_463 	HT1080	SARC	Sarcoma
CCLE_464 	OVCAR8	OV	Ovarian serous cystadenocarcinoma
CCLE_465 	U266B1	MM	Multiple Myeloma Plasma cell leukemia
CCLE_466 	JHUEM7	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_467 	KYSE140	ESCA	Esophageal carcinoma
CCLE_468 	NCIH2452	LUSC	Lung squamous cell carcinoma
CCLE_469 	COV434	OV	Ovarian serous cystadenocarcinoma
CCLE_470 	A704	KIRC	Kidney renal clear cell carcinoma
CCLE_471 	TYKnu	OV	Ovarian serous cystadenocarcinoma
CCLE_472 	ECC10	STAD	Stomach adenocarcinoma
CCLE_473 	TGBC11TKB	STAD	Stomach adenocarcinoma
CCLE_474 	EBC1	LUSC	Lung squamous cell carcinoma
CCLE_475 	TE8	ESCA	Esophageal carcinoma
CCLE_476 	TOV21G	OV	Ovarian serous cystadenocarcinoma
CCLE_477 	COV644	OV	Ovarian serous cystadenocarcinoma
CCLE_478 	HEC6	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_479 	NCIH2291	LUSC	Lung squamous cell carcinoma
CCLE_480 	HEC1B	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_481 	SUIT2	PAAD	Pancreatic adenocarcinoma
CCLE_482 	NCIH196	LUSC	Lung squamous cell carcinoma
CCLE_483 	PL21	LCLL	Chronic Lymphocytic Leukemia
CCLE_484 	Caki1	KIRC	Kidney renal clear cell carcinoma
CCLE_485 	NCIH82	LUSC	Lung squamous cell carcinoma
CCLE_486 	G292,cloneA141B1	SARC	Sarcoma
CCLE_487 	D283Med	LGG	Brain Lower Grade Glioma
CCLE_488 	NCIH1694	LUSC	Lung squamous cell carcinoma
CCLE_489 	SNUC2A	COAD	Colon adenocarcinoma
CCLE_490 	OE33	ESCA	Esophageal carcinoma
CCLE_491 	BxPC3	PAAD	Pancreatic adenocarcinoma
CCLE_492 	UMUC3	BLCA	Bladder Urothelial Carcinoma
CCLE_493 	BICR22	HNSC	Head and Neck squamous cell carcinoma
CCLE_494 	PEER	LCLL	Chronic Lymphocytic Leukemia
CCLE_495 	A4/Fuk	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_496 	CAL851	BRCA	Breast invasive carcinoma
CCLE_497 	AML193	LCLL	Chronic Lymphocytic Leukemia
CCLE_498 	HCC1500	BRCA	Breast invasive carcinoma
CCLE_499 	Caov3	OV	Ovarian serous cystadenocarcinoma
CCLE_500 	PK1	PAAD	Pancreatic adenocarcinoma
CCLE_501 	Panc0813	PAAD	Pancreatic adenocarcinoma
CCLE_502 	NIH:OVCAR3	OV	Ovarian serous cystadenocarcinoma
CCLE_503 	UACC62	SKCM	Skin Cutaneous Melanoma
CCLE_504 	NUDUL1	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_505 	NCIH1755	LUSC	Lung squamous cell carcinoma
CCLE_506 	QGP1	PAAD	Pancreatic adenocarcinoma
CCLE_507 	CJM	SKCM	Skin Cutaneous Melanoma
CCLE_508 	HLFa	LUSC	Lung squamous cell carcinoma
CCLE_509 	YD15	HNSC	Head and Neck squamous cell carcinoma
CCLE_510 	NCIH838	LUSC	Lung squamous cell carcinoma
CCLE_511 	NCIH1963	LUSC	Lung squamous cell carcinoma
CCLE_512 	HCC95	LUSC	Lung squamous cell carcinoma
CCLE_513 	HSC4	HNSC	Head and Neck squamous cell carcinoma
CCLE_514 	CORL279	LUSC	Lung squamous cell carcinoma
CCLE_515 	A549	LUSC	Lung squamous cell carcinoma
CCLE_516 	BT474	BRCA	Breast invasive carcinoma
CCLE_517 	NCIH1944	LUSC	Lung squamous cell carcinoma
CCLE_518 	HCC56	COAD	Colon adenocarcinoma
CCLE_519 	Saos2	SARC	Sarcoma
CCLE_520 	HLF	LIHC	Liver hepatocellular carcinoma
CCLE_521 	Hs819T	SARC	Sarcoma
CCLE_522 	LMSU	STAD	Stomach adenocarcinoma
CCLE_523 	SF295	LGG	Brain Lower Grade Glioma
CCLE_524 	MOLM16	LCLL	Chronic Lymphocytic Leukemia
CCLE_525 	PC3	PRAD	Prostate adenocarcinoma
CCLE_526 	NCIH1650	LUSC	Lung squamous cell carcinoma
CCLE_527 	CAMA1	BRCA	Breast invasive carcinoma
CCLE_528 	SW1417	COAD	Colon adenocarcinoma
CCLE_529 	SKMEL28	SKCM	Skin Cutaneous Melanoma
CCLE_530 	REC1	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_531 	NOMO1	LCLL	Chronic Lymphocytic Leukemia
CCLE_532 	CCK81	COAD	Colon adenocarcinoma
CCLE_533 	IPC298	SKCM	Skin Cutaneous Melanoma
CCLE_534 	CA46	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_535 	LOUNH91	LUSC	Lung squamous cell carcinoma
CCLE_536 	SW620	COAD	Colon adenocarcinoma
CCLE_537 	SKM1	LCLL	Chronic Lymphocytic Leukemia
CCLE_538 	P12ICHIKAWA	LCLL	Chronic Lymphocytic Leukemia
CCLE_539 	NCIH1618	LUSC	Lung squamous cell carcinoma
CCLE_540 	ONCODG1	OV	Ovarian serous cystadenocarcinoma
CCLE_541 	SCC4	HNSC	Head and Neck squamous cell carcinoma
CCLE_542 	KE37	LCLL	Chronic Lymphocytic Leukemia
CCLE_543 	FTC133	THCA	Thyroid carcinoma
CCLE_544 	Hs746T	STAD	Stomach adenocarcinoma
CCLE_545 	NCIH3255	LUSC	Lung squamous cell carcinoma
CCLE_546 	G401	KIRC	Kidney renal clear cell carcinoma
CCLE_547 	L33	PAAD	Pancreatic adenocarcinoma
CCLE_548 	HOP62	LUSC	Lung squamous cell carcinoma
CCLE_549 	LP1	MM	Multiple Myeloma Plasma cell leukemia
CCLE_550 	CAL62	THCA	Thyroid carcinoma
CCLE_551 	J82	BLCA	Bladder Urothelial Carcinoma
CCLE_552 	U87MG	LGG	Brain Lower Grade Glioma
CCLE_553 	LUDLU1	LUSC	Lung squamous cell carcinoma
CCLE_554 	EOL1	LCLL	Chronic Lymphocytic Leukemia
CCLE_555 	P31/FUJ	LCLL	Chronic Lymphocytic Leukemia
CCLE_556 	Hs936T	SKCM	Skin Cutaneous Melanoma
CCLE_557 	UACC257	SKCM	Skin Cutaneous Melanoma
CCLE_558 	FTC238	THCA	Thyroid carcinoma
CCLE_559 	SKCO1	COAD	Colon adenocarcinoma
CCLE_560 	SNU1066	HNSC	Head and Neck squamous cell carcinoma
CCLE_561 	NCIN87	STAD	Stomach adenocarcinoma
CCLE_562 	HMC18	BRCA	Breast invasive carcinoma
CCLE_563 	KARPAS299	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_564 	NCIH2227	LUSC	Lung squamous cell carcinoma
CCLE_565 	PK45H	PAAD	Pancreatic adenocarcinoma
CCLE_566 	JHH4	LIHC	Liver hepatocellular carcinoma
CCLE_567 	JHOM2B	OV	Ovarian serous cystadenocarcinoma
CCLE_568 	SH10TC	STAD	Stomach adenocarcinoma
CCLE_569 	OCIAML3	LCLL	Chronic Lymphocytic Leukemia
CCLE_570 	NCIH2106	LUSC	Lung squamous cell carcinoma
CCLE_571 	NCIH28	LUSC	Lung squamous cell carcinoma
CCLE_572 	Hs294T	SKCM	Skin Cutaneous Melanoma
CCLE_573 	HuG1N	STAD	Stomach adenocarcinoma
CCLE_574 	AN3CA	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_575 	KYSE270	ESCA	Esophageal carcinoma
CCLE_576 	Hs870T	SARC	Sarcoma
CCLE_577 	SNU349	KIRC	Kidney renal clear cell carcinoma
CCLE_578 	SUDHL6	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_579 	RMUGS	OV	Ovarian serous cystadenocarcinoma
CCLE_580 	TOV112D	OV	Ovarian serous cystadenocarcinoma
CCLE_581 	NCIH2170	LUSC	Lung squamous cell carcinoma
CCLE_582 	SUPM2	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_583 	WM88	SKCM	Skin Cutaneous Melanoma
CCLE_584 	HEC50B	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_585 	LS1034	COAD	Colon adenocarcinoma
CCLE_586 	D341Med	LGG	Brain Lower Grade Glioma
CCLE_587 	NCIH1341	LUSC	Lung squamous cell carcinoma
CCLE_588 	EPLC272H	LUSC	Lung squamous cell carcinoma
CCLE_589 	SW1463	COAD	Colon adenocarcinoma
CCLE_590 	KMM1	MM	Multiple Myeloma Plasma cell leukemia
CCLE_591 	K029AX	SKCM	Skin Cutaneous Melanoma
CCLE_592 	TF1	LCLL	Chronic Lymphocytic Leukemia
CCLE_593 	WSUDLCL2	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_594 	KMS27	MM	Multiple Myeloma Plasma cell leukemia
CCLE_595 	PSN1	PAAD	Pancreatic adenocarcinoma
CCLE_596 	SKNMC	LGG	Brain Lower Grade Glioma
CCLE_597 	Hs944T	SKCM	Skin Cutaneous Melanoma
CCLE_598 	JJN3	MM	Multiple Myeloma Plasma cell leukemia
CCLE_599 	NCIH2172	LUSC	Lung squamous cell carcinoma
CCLE_600 	HEC59	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_601 	CFPAC1	PAAD	Pancreatic adenocarcinoma
CCLE_602 	OV56	OV	Ovarian serous cystadenocarcinoma
CCLE_603 	M07e	LCLL	Chronic Lymphocytic Leukemia
CCLE_604 	AMO1	MM	Multiple Myeloma Plasma cell leukemia
CCLE_605 	RERFLCMS	LUSC	Lung squamous cell carcinoma
CCLE_606 	MKN74	STAD	Stomach adenocarcinoma
CCLE_607 	Malme3M	SKCM	Skin Cutaneous Melanoma
CCLE_608 	Hs706T	SARC	Sarcoma
CCLE_609 	JHOC5	OV	Ovarian serous cystadenocarcinoma
CCLE_610 	LK2	LUSC	Lung squamous cell carcinoma
CCLE_611 	NCIH1651	LUSC	Lung squamous cell carcinoma
CCLE_612 	Calu1	LUSC	Lung squamous cell carcinoma
CCLE_613 	HCC44	LUSC	Lung squamous cell carcinoma
CCLE_614 	KYM1	SARC	Sarcoma
CCLE_615 	NCIH2347	LUSC	Lung squamous cell carcinoma
CCLE_616 	KP3	PAAD	Pancreatic adenocarcinoma
CCLE_617 	Hs606T	BRCA	Breast invasive carcinoma
CCLE_618 	Reh	LCLL	Chronic Lymphocytic Leukemia
CCLE_619 	NCIH209	LUSC	Lung squamous cell carcinoma
CCLE_620 	NCIH647	LUSC	Lung squamous cell carcinoma
CCLE_621 	CORL47	LUSC	Lung squamous cell carcinoma
CCLE_622 	HCC1171	LUSC	Lung squamous cell carcinoma
CCLE_623 	SNU1033	COAD	Colon adenocarcinoma
CCLE_624 	TE9	ESCA	Esophageal carcinoma
CCLE_625 	HDMYZ	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_626 	OCIAML2	LCLL	Chronic Lymphocytic Leukemia
CCLE_627 	PC14	LUSC	Lung squamous cell carcinoma
CCLE_628 	NCIH146	LUSC	Lung squamous cell carcinoma
CCLE_629 	KMS26	MM	Multiple Myeloma Plasma cell leukemia
CCLE_630 	L363	MM	Multiple Myeloma Plasma cell leukemia
CCLE_631 	BV173	LCLL	Chronic Lymphocytic Leukemia
CCLE_632 	HCC1599	BRCA	Breast invasive carcinoma
CCLE_633 	CI1	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_634 	KYSE30	ESCA	Esophageal carcinoma
CCLE_635 	LN18	LGG	Brain Lower Grade Glioma
CCLE_636 	SF268	LGG	Brain Lower Grade Glioma
CCLE_637 	Panc0504	PAAD	Pancreatic adenocarcinoma
CCLE_638 	MOLT16	LCLL	Chronic Lymphocytic Leukemia
CCLE_639 	CMLT1	LCLL	Chronic Lymphocytic Leukemia
CCLE_640 	CORL23	LUSC	Lung squamous cell carcinoma
CCLE_641 	EM2	LCLL	Chronic Lymphocytic Leukemia
CCLE_642 	S117	THCA	Thyroid carcinoma
CCLE_643 	LCLC97TM1	LUSC	Lung squamous cell carcinoma
CCLE_644 	HCC1428	BRCA	Breast invasive carcinoma
CCLE_645 	RH41	SARC	Sarcoma
CCLE_646 	DMS153	LUSC	Lung squamous cell carcinoma
CCLE_647 	NCIH2066	LUSC	Lung squamous cell carcinoma
CCLE_648 	MCF7	BRCA	Breast invasive carcinoma
CCLE_649 	GI1	LGG	Brain Lower Grade Glioma
CCLE_650 	COLO829	SKCM	Skin Cutaneous Melanoma
CCLE_651 	Raji	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_652 	A204	SARC	Sarcoma
CCLE_653 	SW1116	COAD	Colon adenocarcinoma
CCLE_654 	RL	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_655 	Hep3B217	LIHC	Liver hepatocellular carcinoma
CCLE_656 	Hs834T	SKCM	Skin Cutaneous Melanoma
CCLE_657 	FU97	STAD	Stomach adenocarcinoma
CCLE_658 	G402	KIRC	Kidney renal clear cell carcinoma
CCLE_659 	NCIH660	PRAD	Prostate adenocarcinoma
CCLE_660 	TT	ESCA	Esophageal carcinoma
CCLE_661 	KYSE520	ESCA	Esophageal carcinoma
CCLE_662 	SW1271	LUSC	Lung squamous cell carcinoma
CCLE_663 	RERFLCSq1	LUSC	Lung squamous cell carcinoma
CCLE_664 	PE/CAPJ41(cloneD2)	HNSC	Head and Neck squamous cell carcinoma
CCLE_665 	NALM6	LCLL	Chronic Lymphocytic Leukemia
CCLE_666 	DMS79	LUSC	Lung squamous cell carcinoma
CCLE_667 	SHP77	LUSC	Lung squamous cell carcinoma
CCLE_668 	NMCG1	LGG	Brain Lower Grade Glioma
CCLE_669 	AM38	LGG	Brain Lower Grade Glioma
CCLE_670 	F36P	LCLL	Chronic Lymphocytic Leukemia
CCLE_671 	SKMEL30	SKCM	Skin Cutaneous Melanoma
CCLE_672 	HEL9217	LCLL	Chronic Lymphocytic Leukemia
CCLE_673 	HARA	LUSC	Lung squamous cell carcinoma
CCLE_674 	MELJUSO	SKCM	Skin Cutaneous Melanoma
CCLE_675 	TE10	ESCA	Esophageal carcinoma
CCLE_676 	MOLP2	MM	Multiple Myeloma Plasma cell leukemia
CCLE_677 	SKNFI	LGG	Brain Lower Grade Glioma
CCLE_678 	OC314	OV	Ovarian serous cystadenocarcinoma
CCLE_679 	Panc0213	PAAD	Pancreatic adenocarcinoma
CCLE_680 	KARPAS422	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_681 	RS4;11	LCLL	Chronic Lymphocytic Leukemia
CCLE_682 	KPNRTBM1	LGG	Brain Lower Grade Glioma
CCLE_683 	COLO679	SKCM	Skin Cutaneous Melanoma
CCLE_684 	8305C	THCA	Thyroid carcinoma
CCLE_685 	SNU308	LIHC	Liver hepatocellular carcinoma
CCLE_686 	HT29	COAD	Colon adenocarcinoma
CCLE_687 	CORL95	LUSC	Lung squamous cell carcinoma
CCLE_688 	ESS1	UCEC	Uterine Corpus Endometrioid Carcinoma
CCLE_689 	MFE280	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_690 	SNU840	OV	Ovarian serous cystadenocarcinoma
CCLE_691 	BICR31	HNSC	Head and Neck squamous cell carcinoma
CCLE_692 	NCIH211	LUSC	Lung squamous cell carcinoma
CCLE_693 	JHOS4	OV	Ovarian serous cystadenocarcinoma
CCLE_694 	KP2	PAAD	Pancreatic adenocarcinoma
CCLE_695 	SNU81	COAD	Colon adenocarcinoma
CCLE_696 	HuT78	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_697 	CL34	COAD	Colon adenocarcinoma
CCLE_698 	CAL27	HNSC	Head and Neck squamous cell carcinoma
CCLE_699 	KPNYN	LGG	Brain Lower Grade Glioma
CCLE_700 	GAMG	LGG	Brain Lower Grade Glioma
CCLE_701 	EHEB	LCLL	Chronic Lymphocytic Leukemia
CCLE_702 	HeyA8	OV	Ovarian serous cystadenocarcinoma
CCLE_703 	HOS	SARC	Sarcoma
CCLE_704 	OCILY19	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_705 	HCC1954	BRCA	Breast invasive carcinoma
CCLE_706 	Hs822T	SARC	Sarcoma
CCLE_707 	Hs172T	BLCA	Bladder Urothelial Carcinoma
CCLE_708 	IM95	STAD	Stomach adenocarcinoma
CCLE_709 	SW1990	PAAD	Pancreatic adenocarcinoma
CCLE_710 	KATOIII	STAD	Stomach adenocarcinoma
CCLE_711 	TE617T	SARC	Sarcoma
CCLE_712 	T98G	LGG	Brain Lower Grade Glioma
CCLE_713 	Hs888T	SARC	Sarcoma
CCLE_714 	ISTMES1	LUSC	Lung squamous cell carcinoma
CCLE_715 	MEC1	LCLL	Chronic Lymphocytic Leukemia
CCLE_716 	SUDHL5	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_717 	MOLT3	LCLL	Chronic Lymphocytic Leukemia
CCLE_718 	JK1	LCLL	Chronic Lymphocytic Leukemia
CCLE_719 	SNU685	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_720 	SNU886	LIHC	Liver hepatocellular carcinoma
CCLE_721 	DMS53	LUSC	Lung squamous cell carcinoma
CCLE_722 	CORL24	LUSC	Lung squamous cell carcinoma
CCLE_723 	L1236	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_724 	SW948	COAD	Colon adenocarcinoma
CCLE_725 	MKN45	STAD	Stomach adenocarcinoma
CCLE_726 	697	LCLL	Chronic Lymphocytic Leukemia
CCLE_727 	SNU878	LIHC	Liver hepatocellular carcinoma
CCLE_728 	KG1C	LGG	Brain Lower Grade Glioma
CCLE_729 	IALM	LUSC	Lung squamous cell carcinoma
CCLE_730 	NCIH2009	LUSC	Lung squamous cell carcinoma
CCLE_731 	SKMEL31	SKCM	Skin Cutaneous Melanoma
CCLE_732 	SCC9	HNSC	Head and Neck squamous cell carcinoma
CCLE_733 	SNU245	LIHC	Liver hepatocellular carcinoma
CCLE_734 	KNS81	LGG	Brain Lower Grade Glioma
CCLE_735 	NCIH1563	LUSC	Lung squamous cell carcinoma
CCLE_736 	SEM	LCLL	Chronic Lymphocytic Leukemia
CCLE_737 	CL14	COAD	Colon adenocarcinoma
CCLE_738 	NCIH2029	LUSC	Lung squamous cell carcinoma
CCLE_739 	SKLMS1	SARC	Sarcoma
CCLE_740 	HT	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_741 	TCCPAN2	PAAD	Pancreatic adenocarcinoma
CCLE_742 	TE6	ESCA	Esophageal carcinoma
CCLE_743 	Hs578T	BRCA	Breast invasive carcinoma
CCLE_744 	VMCUB1	BLCA	Bladder Urothelial Carcinoma
CCLE_745 	NCIH1184	LUSC	Lung squamous cell carcinoma
CCLE_746 	JHOM1	OV	Ovarian serous cystadenocarcinoma
CCLE_747 	EFE184	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_748 	HOP62v1	STAD	Stomach adenocarcinoma
CCLE_749 	LNCaPcloneFGC	PRAD	Prostate adenocarcinoma
CCLE_750 	BICR6	HNSC	Head and Neck squamous cell carcinoma
CCLE_751 	Capan1	PAAD	Pancreatic adenocarcinoma
CCLE_752 	MDAMB231	BRCA	Breast invasive carcinoma
CCLE_753 	T3M10	LUSC	Lung squamous cell carcinoma
CCLE_754 	OVSAHO	OV	Ovarian serous cystadenocarcinoma
CCLE_755 	NCIH1395	LUSC	Lung squamous cell carcinoma
CCLE_756 	Sq1	LUSC	Lung squamous cell carcinoma
CCLE_757 	A172	LGG	Brain Lower Grade Glioma
CCLE_758 	YD38	HNSC	Head and Neck squamous cell carcinoma
CCLE_759 	BDCM	LCLL	Chronic Lymphocytic Leukemia
CCLE_760 	KU1919	BLCA	Bladder Urothelial Carcinoma
CCLE_761 	HCT15	COAD	Colon adenocarcinoma
CCLE_762 	NCIH2081	LUSC	Lung squamous cell carcinoma
CCLE_763 	SNU1079	LIHC	Liver hepatocellular carcinoma
CCLE_764 	GMS10	LGG	Brain Lower Grade Glioma
CCLE_765 	CAL29	BLCA	Bladder Urothelial Carcinoma
CCLE_766 	SNU407	COAD	Colon adenocarcinoma
CCLE_767 	TUHR4TKB	KIRC	Kidney renal clear cell carcinoma
CCLE_768 	MDAMB453	BRCA	Breast invasive carcinoma
CCLE_769 	SNU324	PAAD	Pancreatic adenocarcinoma
CCLE_770 	YD10B	HNSC	Head and Neck squamous cell carcinoma
CCLE_771 	SW579	THCA	Thyroid carcinoma
CCLE_772 	SCC25	HNSC	Head and Neck squamous cell carcinoma
CCLE_773 	COLO201	COAD	Colon adenocarcinoma
CCLE_774 	HCC70	BRCA	Breast invasive carcinoma
CCLE_775 	SNU1	STAD	Stomach adenocarcinoma
CCLE_776 	KELLY	LGG	Brain Lower Grade Glioma
CCLE_777 	EN	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_778 	KMS21BM	MM	Multiple Myeloma Plasma cell leukemia
CCLE_779 	RCM1	COAD	Colon adenocarcinoma
CCLE_780 	SNU601	STAD	Stomach adenocarcinoma
CCLE_781 	SBC5	LUSC	Lung squamous cell carcinoma
CCLE_782 	DM3	LUSC	Lung squamous cell carcinoma
CCLE_783 	FUOV1	OV	Ovarian serous cystadenocarcinoma
CCLE_784 	MDAMB134VI	BRCA	Breast invasive carcinoma
CCLE_785 	HCC2108	LUSC	Lung squamous cell carcinoma
CCLE_786 	BEN	LUSC	Lung squamous cell carcinoma
CCLE_787 	OE21	ESCA	Esophageal carcinoma
CCLE_788 	SKMEL1	SKCM	Skin Cutaneous Melanoma
CCLE_789 	HL60	LCLL	Chronic Lymphocytic Leukemia
CCLE_790 	NCIH1436	LUSC	Lung squamous cell carcinoma
CCLE_791 	TE1	ESCA	Esophageal carcinoma
CCLE_792 	SNU175	COAD	Colon adenocarcinoma
CCLE_793 	Panc0403	PAAD	Pancreatic adenocarcinoma
CCLE_794 	MOR/CPR	LUSC	Lung squamous cell carcinoma
CCLE_795 	HPAC	PAAD	Pancreatic adenocarcinoma
CCLE_796 	OCIAML5	LCLL	Chronic Lymphocytic Leukemia
CCLE_797 	SW1783	LGG	Brain Lower Grade Glioma
CCLE_798 	HCC33	LUSC	Lung squamous cell carcinoma
CCLE_799 	RCC10RGB	KIRC	Kidney renal clear cell carcinoma
CCLE_800 	NCIH2228	LUSC	Lung squamous cell carcinoma
CCLE_801 	DMS454	LUSC	Lung squamous cell carcinoma
CCLE_802 	CAL120	BRCA	Breast invasive carcinoma
CCLE_803 	SNU1076	HNSC	Head and Neck squamous cell carcinoma
CCLE_804 	YKG1	LGG	Brain Lower Grade Glioma
CCLE_805 	CAL148	BRCA	Breast invasive carcinoma
CCLE_806 	786O	KIRC	Kidney renal clear cell carcinoma
CCLE_807 	COLO792	SKCM	Skin Cutaneous Melanoma
CCLE_808 	WM1799	SKCM	Skin Cutaneous Melanoma
CCLE_809 	A2780	OV	Ovarian serous cystadenocarcinoma
CCLE_810 	SNU626	LGG	Brain Lower Grade Glioma
CCLE_811 	KG1	LCLL	Chronic Lymphocytic Leukemia
CCLE_812 	KYSE70	ESCA	Esophageal carcinoma
CCLE_813 	SNU119	OV	Ovarian serous cystadenocarcinoma
CCLE_814 	HT55	COAD	Colon adenocarcinoma
CCLE_815 	OSRC2	KIRC	Kidney renal clear cell carcinoma
CCLE_816 	JHUEM3	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_817 	RPMI8226	MM	Multiple Myeloma Plasma cell leukemia
CCLE_818 	KYSE150	ESCA	Esophageal carcinoma
CCLE_819 	HSC3	HNSC	Head and Neck squamous cell carcinoma
CCLE_820 	DV90	LUSC	Lung squamous cell carcinoma
CCLE_821 	ECC12	STAD	Stomach adenocarcinoma
CCLE_822 	Hs683	LGG	Brain Lower Grade Glioma
CCLE_823 	8MGBA	LGG	Brain Lower Grade Glioma
CCLE_824 	SKOV3	OV	Ovarian serous cystadenocarcinoma
CCLE_825 	NCIH524	LUSC	Lung squamous cell carcinoma
CCLE_826 	U937	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
CCLE_827 	KMS28BM	MM	Multiple Myeloma Plasma cell leukemia
